#file time_0 time_1 time_2 time_3 time_4 time_5 time_6 time_7 time_8 time_9 time_10 time_11 time_12 time_13 time_14 time_15 time_16 time_17 time_18 time_19 time_20 time_21 time_22 time_23 time_24 
geo020s08a0064v02 -1.8553 5.5508 10.9336 13.7026 11.8878 7.0872 2.9466 -1.7807 -4.9674 -3.1558 -0.8945 -0.1276 2.8358 0.1110 -0.8421 1.2430 2.0524 -1.0624 -6.5154 -8.2540 -8.0066 -6.9438 -5.0691 -0.0319 1.8008 
geo020s08a0065v01 18.2692 18.6549 10.7748 2.7397 0.7913 -0.0865 0.1746 -2.3171 -15.5267 -20.2652 -21.5687 -17.2072 -12.1930 -9.2705 -9.5123 -5.7984 -1.8970 2.1282 7.9761 2.7214 -2.6232 -6.7736 -6.8480 -4.0482 -2.8616 
geo020s08a0067v01 20.9289 15.0915 4.1578 -5.4244 -9.6059 -7.9503 -7.0969 -6.7431 -5.8449 -3.0182 -0.4871 -0.2825 2.7256 3.1352 5.8052 3.9836 1.2348 -31.0652 17.3803 28.7252 23.9959 16.9945 11.2176 5.4425 -2.0510 
geo020s08a0067v02 -9.3228 -8.8401 -3.7201 2.4321 6.8661 5.4118 -13.7933 -25.5069 -8.6099 27.2798 40.3980 30.1935 10.9402 -9.2513 -24.1060 -32.7698 -31.8101 -21.9812 -1.3661 16.9404 24.3964 20.3454 13.9625 9.8599 5.0902 
geo020s08a0068v01 4.0687 1.1182 -1.5807 3.9406 8.6174 3.4387 1.3714 -5.7430 -14.3211 -22.9113 -17.0919 -1.8900 19.9051 30.3630 18.5689 -3.1967 -31.6854 -53.6639 -54.7418 -31.4427 11.7660 55.0919 81.4646 80.2152 56.8285 
geo020s08a0068v02 47.0412 48.0418 28.9500 4.0990 -17.7391 -29.8829 -30.1335 -20.5527 -4.3091 3.9016 3.6992 2.5856 7.2056 11.9917 12.0919 9.5687 1.2936 -3.4630 -7.9684 -9.2891 -11.3954 -9.8558 -7.5441 -6.8867 -3.2719 
geo020s08a0069v02 16.2558 7.6833 -1.6164 -5.2709 -5.0152 -5.6590 -8.3374 -11.7496 -12.0732 -10.5810 -8.4333 -3.8642 0.6342 7.7850 10.2165 9.0599 4.7797 2.1642 2.8765 2.9965 1.7280 0.0238 0.6580 -1.5438 -1.7080 
geo020s08a0070v01 23.9742 3.6843 -17.6551 -27.9987 -23.9901 -7.5192 7.3671 17.9543 23.2390 17.0640 3.0754 -6.7100 -7.5469 -6.3672 -3.8611 -2.9204 -2.9871 -1.2153 0.2139 6.4145 10.4951 11.7174 8.6350 9.9849 3.6396 
geo020s08a0070v02 -9.7366 -11.1403 -11.9828 -7.3820 -2.4718 4.4290 0.9966 4.2918 4.3293 0.9927 -2.9698 -2.7610 2.4498 9.9987 18.1239 10.3245 8.4326 -1.6556 -10.0880 -30.2916 -25.9578 -6.4794 8.6743 8.4551 -1.8225 
geo020s08a0071v01 0.3239 35.2655 52.4174 48.5110 32.9104 6.3289 -16.0314 -25.9025 -21.9677 -11.4469 -0.1334 3.7575 0.5367 2.1616 5.1633 9.6276 -63.7270 16.8719 45.5430 41.1763 19.7718 10.7287 -2.7845 5.9666 2.3036 
geo020s08a0073v01 -3.9026 -11.1772 -3.0064 1.9192 9.8946 14.5122 13.4832 8.1268 7.0789 5.8272 4.7944 -0.1917 -4.3837 -9.2723 -13.2714 -14.8345 -14.6766 -8.0353 -5.9978 -5.4778 -9.5206 -11.1432 -11.9337 -11.5299 -8.3602 
geo020s08a0075v02 -15.0063 -13.1739 -3.8908 -4.5666 -3.4401 -2.4753 -3.0318 -0.7158 -0.5320 2.1514 3.3987 7.8734 4.5004 -2.5327 -2.5663 -1.6193 -3.2349 -5.4903 -2.5953 -0.8790 2.1287 4.3304 4.8245 6.6626 10.6426 
geo020s08a0076v01 -14.4157 -2.9506 18.6435 27.7903 25.4153 8.4742 -11.1787 -28.8545 -39.2671 -31.1640 -5.7232 23.8376 39.2669 36.5297 15.5752 -9.4895 -25.8619 -30.5928 -20.8377 -2.7083 13.3686 22.5064 17.9089 8.8550 0.1495 
geo020s08a0076v02 34.6199 22.5149 5.2046 -6.7632 -11.8032 -6.3092 4.0076 8.5394 7.7801 1.8526 3.7762 7.3275 14.3680 10.3154 0.9187 -12.2377 -22.3506 -23.1106 -19.0380 -10.4643 -1.8644 1.0175 -1.8661 2.9350 9.0855 
geo020s08a0077v02 -9.2323 -0.2223 8.5927 8.8752 13.9470 -0.4825 14.8419 -0.2710 8.5170 -5.3936 -10.0854 -11.7098 -7.9262 -5.6487 -12.6823 -17.3945 -18.4617 -15.6597 -12.4710 -5.5141 4.6288 18.1102 23.1514 28.3470 27.1981 
geo020s08a0078v01 1.8925 -16.0445 -21.3594 -18.4921 -9.2218 2.7995 18.0380 24.7915 21.1823 11.6590 1.3014 -3.7826 -4.8212 -6.3194 -9.9694 -12.0911 -12.0246 -11.3459 -7.4817 -9.9557 -14.5563 -20.8601 -18.9435 -11.1273 -2.1938 
geo020s08a0078v02 -7.0303 -7.7390 -1.3015 4.3309 6.7063 0.5568 -5.3510 -11.1758 -15.6990 -15.7477 -15.3644 -13.0191 -4.0783 4.1087 5.1935 3.9588 5.0876 4.0606 4.1536 6.1974 10.7324 13.2531 11.6971 12.2765 10.9059 
geo020s08a0079v02 12.6331 15.4319 15.6355 11.9778 -0.1069 1.1956 4.7265 5.6251 2.6836 -1.0768 -11.7930 -7.9665 -9.9059 -18.1154 4.5808 8.4781 5.8985 0.1885 -1.8662 -3.7562 -2.7725 -1.7406 13.3679 21.1106 25.4393 
geo020s08a0080v01 -7.2993 -2.3720 4.0961 4.0049 1.7539 3.8979 3.9575 5.9753 8.2364 10.9861 14.4239 13.6883 10.1236 3.5226 3.7061 5.9112 12.8463 -81.3541 -13.7420 14.4140 22.1481 25.4544 19.4724 13.7813 -1.9241 
geo020s08a0080v02 -43.8912 -38.8007 -28.9814 -18.3005 3.4249 23.1140 31.9896 32.3438 20.3710 5.4457 -6.3319 -12.8291 -17.3172 -20.4167 -20.2667 -17.8673 -17.5715 -15.5137 -7.2501 2.1760 12.2788 21.9960 26.8846 25.9550 22.6356 
geo020s08a0081v01 -24.7033 -13.5496 -2.9676 10.5557 20.7855 23.1580 20.9030 17.6401 14.1972 8.8692 5.3785 4.2485 8.6643 14.6959 23.3298 22.8394 23.0362 19.1611 6.1361 -8.7150 -24.2019 -32.9109 -30.7170 -21.3949 -11.3914 
geo020s08a0081v02 -11.1339 -10.6483 7.2517 14.6249 7.9090 9.4048 8.0596 5.6196 2.0212 -1.8178 -5.7944 -5.9719 -4.1111 -0.0308 3.8893 7.2819 11.3603 13.8143 14.1556 7.7628 1.7872 -5.9724 -11.7094 -12.3828 -12.6012 
geo020s08a0082v01 4.6650 3.5063 -11.8328 -23.1583 -21.3886 7.1780 19.5307 12.0808 1.6238 -5.8857 -17.2936 -23.8872 -21.0454 -13.2508 -4.2146 6.1130 14.2046 12.7347 -74.4746 -10.9702 28.7677 34.6428 22.7295 11.4629 6.5228 
